iter	Logloss
0	0.6581868188
1	0.6225644129
2	0.597132565
3	0.5704848599
4	0.5463251303
5	0.5276016344
6	0.5141150164
7	0.4955137862
8	0.4853623139
9	0.4722605736
10	0.4587161746
11	0.4546356868
12	0.4432283304
13	0.4402855545
14	0.4304195037
15	0.421303259
16	0.4167489631
17	0.4103440028
18	0.4045540793
19	0.3995660641
20	0.3951323107
21	0.3903872075
22	0.386396623
23	0.3819192499
24	0.3784738212
25	0.3747247611
26	0.3723136636
27	0.3718285102
28	0.3683144811
29	0.3671632058
30	0.364876879
31	0.3641643928
32	0.361260793
33	0.3595799716
34	0.3592219831
35	0.3569662574
36	0.3550892371
37	0.3536177844
38	0.3520118154
39	0.3500425054
40	0.3496583975
41	0.348929305
42	0.3479413582
43	0.346566744
44	0.3462597524
45	0.34448929
46	0.3440317188
47	0.343727075
48	0.3435212287
49	0.3427447021
50	0.3419255723
51	0.3405876869
52	0.3397055133
53	0.339061327
54	0.3384765179
55	0.33804267
56	0.3380269086
57	0.3377040223
58	0.3371808656
59	0.3369428212
60	0.33624301
61	0.3351095461
62	0.3346372037
63	0.3345842338
64	0.3337350234
65	0.3334807136
66	0.3333638878
67	0.333187637
68	0.3328508542
69	0.3326310603
70	0.3322518636
71	0.331692192
72	0.33123334
73	0.3310043889
74	0.3305268463
75	0.330350856
76	0.3301094386
77	0.3297410288
78	0.329660946
79	0.3294871001
80	0.3289798387
81	0.328857804
82	0.3286649394
83	0.3283788448
84	0.3280722061
85	0.3276588338
86	0.3276175563
87	0.3273952788
88	0.327032773
89	0.3270148595
90	0.326799476
91	0.3261206829
92	0.3260246129
93	0.3254477331
94	0.3254151915
95	0.3253298084
96	0.3252051946
97	0.3249362557
98	0.3246254116
99	0.3244168798
100	0.3243069595
101	0.323961566
102	0.3235795958
103	0.3234773818
104	0.3231668484
105	0.3231521646
106	0.3230135681
107	0.3227898551
108	0.3225235892
109	0.3221687995
110	0.3219561733
111	0.3218479988
112	0.3216859772
113	0.3213148433
114	0.3211514907
115	0.320742262
116	0.3203050397
117	0.3198855962
118	0.3195030083
