iter	Passed	Remaining
0	4	497
1	5	316
2	6	248
3	8	234
4	9	213
5	10	202
6	14	228
7	16	229
8	18	222
9	19	209
10	20	204
11	21	194
12	22	186
13	23	177
14	24	170
15	28	183
16	30	183
17	33	187
18	34	181
19	35	175
20	37	174
21	39	173
22	46	192
23	47	189
24	49	186
25	51	183
26	52	178
27	53	174
28	56	176
29	61	181
30	62	178
31	64	174
32	65	170
33	66	166
34	67	162
35	68	158
36	70	157
37	75	160
38	77	158
39	78	155
40	80	153
41	81	149
42	82	146
43	83	143
44	88	145
45	91	145
46	92	142
47	94	139
48	95	135
49	96	132
50	97	129
51	98	126
52	99	124
53	101	122
54	106	123
55	107	121
56	108	118
57	110	115
58	111	113
59	112	110
60	113	107
61	114	105
62	116	103
63	118	101
64	121	101
65	123	98
66	124	96
67	125	94
68	126	91
69	128	89
70	132	89
71	137	89
72	139	87
73	140	85
74	142	83
75	143	81
76	144	78
77	151	79
78	152	77
79	154	75
80	155	72
81	157	70
82	158	68
83	159	66
84	162	65
85	168	64
86	169	62
87	171	60
88	172	58
89	173	55
90	174	53
91	177	52
92	181	50
93	184	49
94	185	46
95	187	44
96	189	42
97	190	40
98	196	39
99	198	37
100	199	35
101	200	33
102	202	31
103	203	29
104	204	27
105	205	25
106	208	23
107	211	21
108	213	19
109	228	18
110	230	16
111	231	14
112	233	12
113	235	10
114	236	8
115	242	6
116	244	4
117	246	2
118	247	0
